Ano,Mês,Processo,AnoDoProcesso,Tipo_PF_PJ,CPF_CNPJ,Substância,UF,CodigoMunicipio,Município,QuantidadeComercializada,UnidadeDeMedida,ValorRecolhido,DataCriacao
2022,1,833804.0,2008.0,PJ,25897802000177,ARGILA,MG,3169703,TURMALINA,320000,kg ,64,2022-01-18 10:37:00
2022,1,831608.0,2002.0,PJ,39365754000180,GRANITO,MG,3134004,ITINGA,"213,57",m3 ,"2597,84",2022-01-28 13:17:00
2022,2,830312.0,2013.0,PJ,18640227000167,ARGILA,MG,3157005,SALINAS,22,t  ,"375,28",2022-02-03 09:56:00
2022,2,830312.0,2013.0,PJ,18640227000167,ARGILA,MG,3157005,SALINAS,22,t  ,"777,81",2022-02-03 09:54:00
2022,2,832222.0,2012.0,PJ,21373593000101,GRANITO,MG,3119500,CORONEL MURTA,"26,47",t  ,"115,19",2022-02-10 14:38:00
2022,2,833804.0,2008.0,PJ,25897802000177,ARGILA,MG,3169703,TURMALINA,350000,kg ,70,2022-02-17 10:12:00
2022,2,830683.0,2015.0,PJ,03478696000154,AREIA,MG,3168606,TEÓFILO OTONI,"305,04",t  ,"113,3",2022-02-04 08:34:00
2022,2,830893.0,2013.0,PJ,22108450000135,GNAISSE,MG,3157005,SALINAS,"3508,59",m3 ,"1524,59",2022-02-18 10:21:00
2022,2,831424.0,2013.0,PJ,19296734000198,QUARTZO,MG,3156502,RUBELITA,"30,74",m3 ,"3472,24",2022-02-22 09:17:00
2022,2,830016.0,2004.0,PJ,39282298000105,GRANITO,MG,3119500,CORONEL MURTA,"9,22",m3 ,"133,34",2022-02-08 17:32:00
2022,2,831459.0,1986.0,PJ,71333736000120,GRANITO,MG,3141405,MEDINA,"333,37",m3 ,"8528,43",2022-02-18 16:44:00
2022,2,830089.0,2000.0,PJ,36346393000137,GRANITO,MG,3134004,ITINGA,"55,7",m3 ,"1155,41",2022-02-22 14:07:00
2022,2,832100.0,2006.0,PJ,03087551000122,GNAISSE,MG,3168606,TEÓFILO OTONI,"18263,69",t  ,"267,12",2022-02-07 09:24:00
2022,2,830185.0,2010.0,PJ,04180718000168,GRANITO,MG,3156502,RUBELITA,"11,4",m3 ,"486,25",2022-02-23 13:51:00
2022,2,832854.0,2003.0,PJ,05591773000103,GRANITO,MG,3134004,ITINGA,89,m3 ,"5597,1",2022-02-24 11:10:00
2022,2,833956.0,2012.0,PJ,07956583000178,GNAISSE,MG,3139201,MALACACHETA,"123,52",m3 ,"5378,75",2022-02-07 16:57:00
2022,2,832586.0,2009.0,PJ,09094556000169,GRANITO,MG,3119500,CORONEL MURTA,"25,59",m3 ,"242,52",2022-02-07 09:32:00
2022,2,833857.0,2011.0,PJ,12294384000181,GRANITO,MG,3168606,TEÓFILO OTONI,"11,24",m3 ,"304,14",2022-02-25 17:04:00
2022,2,831032.0,2009.0,PJ,13513299000120,GRANITO,MG,3103405,ARAÇUAÍ,"43,35",m3 ,"1119,51",2022-02-21 11:50:00
2022,2,930078.0,1997.0,PJ,21228861000100,GRAFITA,MG,3148707,PEDRA AZUL,"54,22",t  ,"14670,47",2022-02-07 08:51:00
2022,2,930078.0,1997.0,PJ,21228861000100,GRAFITA,MG,3148707,PEDRA AZUL,"3241,21",t  ,"254868,04",2022-02-07 08:48:00
2022,2,807022.0,1971.0,PJ,21624671000101,ESPODUMÊNIO,MG,3134004,ITINGA,"2192,64",t  ,"149131,01",2022-02-23 10:26:00
2022,2,831071.0,2017.0,PJ,25102005000156,ARGILA,MG,3168606,TEÓFILO OTONI,356,t  ,"134,78",2022-02-15 10:43:00
2022,3,831501.0,2003.0,PJ,04867725000132,XISTO,MG,3134004,ITINGA,"0,01",m3 ,"203,67",2022-03-02 09:29:00
2022,3,803441.0,1974.0,PJ,05106351000103,FELDSPATO,MG,3134004,ITINGA,"19485,24",kg ,"2428,3",2022-03-02 10:09:00
2022,3,830195.0,2003.0,PJ,15783338000134,GRANITO,MG,3156502,RUBELITA,"154,69",m3 ,"3935,14",2022-03-02 10:27:00
2022,3,832119.0,1986.0,PJ,42794263000160,FELDSPATO,MG,3157005,SALINAS,"185,63",m3 ,"31046,98",2022-03-04 11:38:00
2022,3,831071.0,2017.0,PJ,25102005000156,ARGILA,MG,3168606,TEÓFILO OTONI,"188,4",t  ,"90,25",2022-03-07 08:38:00
2022,3,831071.0,2017.0,PJ,25102005000156,ARGILA,MG,3168606,TEÓFILO OTONI,187,t  ,"97,49",2022-03-07 08:05:00
2022,3,832966.0,2009.0,PJ,14377622000148,AREIA,MG,3171600,VIRGEM DA LAPA,"246073,66",t  ,"232,82",2022-03-11 09:44:00
2022,3,831071.0,2017.0,PJ,25102005000156,ARGILA,MG,3168606,TEÓFILO OTONI,206,t  ,"112,32",2022-03-11 12:03:00
2022,3,831680.0,2012.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,500,t  ,"40,4",2022-03-07 07:32:00
2022,3,832358.0,2008.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,400,t  ,"32,32",2022-03-07 07:54:00
2022,3,832358.0,2008.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,1000,t  ,"80,79",2022-03-07 07:49:00
2022,3,831922.0,2005.0,PJ,01902521000105,ARGILA REFRATÁRIA,MG,3169703,TURMALINA,3000,t  ,"242,38",2022-03-07 08:03:00
2022,3,832983.0,2011.0,PJ,25482167000167,ARGILA,MG,3169703,TURMALINA,1000,t  ,"80,79",2022-03-07 08:09:00
2022,3,832119.0,1986.0,PJ,42794263000160,FELDSPATO,MG,3157005,SALINAS,"140,59",m3 ,"27926,71",2022-03-14 20:20:00
2022,3,830899.0,2017.0,PJ,39781309000100,GRANITO,MG,3169703,TURMALINA,"2344,56",t  ,"1647,62",2022-03-15 12:14:00
2022,3,830899.0,2017.0,PJ,39781309000100,GRANITO,MG,3169703,TURMALINA,"1874,97",t  ,"1635,51",2022-03-15 12:09:00
2022,3,830899.0,2017.0,PJ,39781309000100,GRANITO,MG,3169703,TURMALINA,"1783,45",t  ,"1555,47",2022-03-15 12:07:00
2022,3,831039.0,2012.0,PJ,10831894000115,AREIA,MG,3141801,MINAS NOVAS,"0,45",t  ,"149,04",2022-03-09 13:53:00
2022,3,832124.0,2009.0,PJ,04072868000158,ARGILA,MG,3169703,TURMALINA,950,t  ,"26,36",2022-03-22 16:09:00
2022,3,832124.0,2009.0,PJ,04072868000158,ARGILA,MG,3169703,TURMALINA,1500,t  ,"47,7",2022-03-22 16:21:00
2022,3,832124.0,2009.0,PJ,04072868000158,ARGILA,MG,3169703,TURMALINA,1500,t  ,"46,83",2022-03-22 16:23:00
2022,3,832124.0,2009.0,PJ,04072868000158,ARGILA,MG,3169703,TURMALINA,2325,t  ,"73,35",2022-03-22 16:05:00
2022,3,832124.0,2009.0,PJ,04072868000158,ARGILA,MG,3169703,TURMALINA,2000,t  ,"63,38",2022-03-22 16:03:00
2022,3,832124.0,2009.0,PJ,04072868000158,ARGILA,MG,3169703,TURMALINA,1800,t  ,"57,23",2022-03-22 15:56:00
2022,3,830245.0,2006.0,PJ,07553086000129,GRANITO,MG,3141801,MINAS NOVAS,"43,13",t  ,"192,69",2022-03-23 11:28:00
2022,3,832545.0,1987.0,PJ,24042913000139,GRANITO,MG,3141405,MEDINA,"5,27",m3 ,"45,72",2022-03-17 17:13:00
2022,3,831459.0,1986.0,PJ,71333736000120,GRANITO,MG,3141405,MEDINA,"322,9",m3 ,"8031,48",2022-03-17 17:32:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,176,t  ,"62,05",2022-03-28 14:29:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,288,t  ,"158,04",2022-03-28 14:32:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,592,t  ,"324,94",2022-03-28 14:35:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,"556,8",t  ,"252,38",2022-03-28 14:43:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,8,t  ,"2,76",2022-03-28 15:13:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,160,t  ,"31,39",2022-03-28 15:18:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,160,t  ,"22,13",2022-03-28 14:45:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,400,t  ,"74,79",2022-03-28 15:25:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,221,t  ,"148,62",2022-03-28 13:30:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,448,t  ,"208,15",2022-03-28 15:30:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,560,t  ,"282,93",2022-03-28 15:43:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,"315,2",t  ,"121,53",2022-03-28 15:47:00
2022,3,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,"329,94",t  ,"147,95",2022-03-28 16:15:00
2022,3,832586.0,2009.0,PJ,09094556000169,GRANITO,MG,3119500,CORONEL MURTA,"287,68",m3 ,"2772,04",2022-03-09 10:49:00
2022,3,833857.0,2011.0,PJ,12294384000181,GRANITO,MG,3168606,TEÓFILO OTONI,"50,3",m3 ,"1151,75",2022-03-24 17:35:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"85,14",m3 ,"446,21",2022-03-30 09:28:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"13,02",m3 ,"101,98",2022-03-30 09:30:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"305,09",m3 ,"1563,89",2022-03-30 09:59:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"376,22",m3 ,"1899,18",2022-03-30 10:11:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"486,09",m3 ,"2472,42",2022-03-30 10:08:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"188,35",m3 ,"958,12",2022-03-30 10:01:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"198,39",m3 ,"509,42",2022-03-30 09:53:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"304,34",m3 ,"1524,18",2022-03-29 14:29:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"19,62",m3 ,"163,53",2022-03-30 09:44:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"84,2",m3 ,"442,85",2022-03-30 09:24:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"198,39",m3 ,"1025,53",2022-03-30 09:51:00
2022,3,830011.0,2007.0,PJ,00968624000105,GRANITO,MG,3141405,MEDINA,"499,43",m3 ,"2448,22",2022-03-30 10:20:00
2022,3,833804.0,2008.0,PJ,25897802000177,ARGILA,MG,3169703,TURMALINA,300000,kg ,"60,57",2022-03-28 09:35:00
2022,3,831415.0,2004.0,PJ,42837484000178,GRANITO,MG,3103405,ARAÇUAÍ,"10,44",m3 ,"100,58",2022-03-16 15:08:00
2022,3,834323.0,2007.0,PJ,03933619000147,GRANITO,MG,3156502,RUBELITA,"45,95",t  ,"1213,42",2022-03-25 11:42:00
2022,3,830185.0,2010.0,PJ,04180718000168,GRANITO,MG,3156502,RUBELITA,"21,41",m3 ,"808,31",2022-03-22 10:03:00
2022,3,831501.0,2003.0,PJ,04867725000132,XISTO,MG,3134004,ITINGA,"138,4",m3 ,"12163,83",2022-03-31 10:34:00
2022,3,803441.0,1974.0,PJ,05106351000103,FELDSPATO,MG,3134004,ITINGA,"14732,88",kg ,"1854,04",2022-03-31 10:54:00
2022,3,832854.0,2003.0,PJ,05591773000103,GRANITO,MG,3134004,ITINGA,"9,69",m3 ,"565,99",2022-03-10 11:57:00
2022,3,830796.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,609,t  ,"234,02",2022-03-31 08:30:00
2022,3,830796.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,638,t  ,"245,27",2022-03-31 08:29:00
2022,3,830796.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,696,t  ,"264,75",2022-03-31 08:32:00
2022,3,830796.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,435,t  ,"165,57",2022-03-31 08:33:00
2022,3,833612.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,493,t  ,"189,44",2022-03-31 08:42:00
2022,3,833612.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,754,t  ,"287,71",2022-03-31 08:42:00
2022,3,833612.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,638,t  ,"242,69",2022-03-31 08:43:00
2022,3,833612.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,493,t  ,"187,65",2022-03-31 08:44:00
2022,3,833612.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,1044,t  ,"357,01",2022-03-31 08:44:00
2022,3,833611.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,493,t  ,"187,65",2022-03-31 08:53:00
2022,3,833611.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,667,t  ,"256,3",2022-03-31 08:51:00
2022,3,833611.0,2013.0,PJ,09554036000191,ARGILA,MG,3157005,SALINAS,638,t  ,"245,27",2022-03-31 08:50:00
2022,3,830195.0,2003.0,PJ,15783338000134,GRANITO,MG,3156502,RUBELITA,"167,3",m3 ,"3955,58",2022-03-31 15:19:00
2022,3,930078.0,1997.0,PJ,21228861000100,GRAFITA,MG,3148707,PEDRA AZUL,"165,2",t  ,"32106,06",2022-03-11 13:48:00
2022,3,830089.0,2000.0,PJ,36346393000137,GRANITO,MG,3134004,ITINGA,"39,72",m3 ,"804,35",2022-03-15 11:11:00
2022,3,830269.0,1990.0,PJ,38564373000168,GRANITO,MG,3168606,TEÓFILO OTONI,"4778,5",t  ,"1993,83",2022-03-28 19:03:00
2022,3,830899.0,2017.0,PJ,39781309000100,GRANITO,MG,3169703,TURMALINA,"2909,43",t  ,"2102,33",2022-03-08 13:27:00
2022,4,821951.0,1969.0,PJ,05106351000103,FELDSPATO,MG,3134004,ITINGA,"27,59",m3 ,"2951,11",2022-04-13 10:56:00
2022,4,832033.0,2009.0,PJ,11430465000107,AREIA,MG,3103405,ARAÇUAÍ,"313,6",t  ,"108,92",2022-04-13 08:34:00
2022,4,831039.0,2012.0,PJ,10831894000115,AREIA,MG,3141801,MINAS NOVAS,"0,73",t  ,"243,8",2022-04-07 16:25:00
2022,4,832119.0,1986.0,PJ,42794263000160,FELDSPATO,MG,3157005,SALINAS,"84,8",m3 ,"13295,39",2022-04-20 10:58:00
2022,4,830683.0,2015.0,PJ,03478696000154,AREIA,MG,3168606,TEÓFILO OTONI,"363,26",t  ,"128,37",2022-04-01 10:14:00
2022,4,833804.0,2008.0,PJ,25897802000177,ARGILA,MG,3169703,TURMALINA,350000,kg ,70,2022-04-14 15:22:00
2022,4,831415.0,2004.0,PJ,42837484000178,GRANITO,MG,3103405,ARAÇUAÍ,"71,92",m3 ,"692,92",2022-04-07 14:17:00
2022,4,821951.0,1969.0,PJ,05106351000103,FELDSPATO,MG,3134004,ITINGA,"663,6",kg ,"178,49",2022-04-27 19:53:00
2022,4,803441.0,1974.0,PJ,05106351000103,FELDSPATO,MG,3134004,ITINGA,"16560,16",kg ,"133,77",2022-04-27 19:56:00
2022,4,821951.0,1969.0,PJ,05106351000103,FELDSPATO,MG,3134004,ITINGA,"0,01",m3 ,"805,72",2022-04-27 19:48:00
2022,4,831071.0,2017.0,PJ,25102005000156,ARGILA,MG,3168606,TEÓFILO OTONI,327,t  ,"127,2",2022-04-01 14:49:00
2022,4,830089.0,2000.0,PJ,36346393000137,GRANITO,MG,3134004,ITINGA,"67,2",m3 ,"1257,16",2022-04-21 09:38:00
2022,4,830924.0,2015.0,PF,***046805**,AREIA,MG,3169703,TURMALINA,300,t  ,"100,71",2022-04-29 18:50:00
2022,4,831680.0,2012.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,800,t  ,64,2022-04-01 08:01:00
2022,4,832358.0,2008.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,250,t  ,20,2022-04-01 08:04:00
2022,4,831922.0,2005.0,PJ,01902521000105,ARGILA REFRATÁRIA,MG,3169703,TURMALINA,300,t  ,24,2022-04-01 07:59:00
2022,4,831922.0,2005.0,PJ,01902521000105,ARGILA REFRATÁRIA,MG,3169703,TURMALINA,500,t  ,40,2022-04-01 07:53:00
2022,4,832100.0,2006.0,PJ,03087551000122,GNAISSE,MG,3168606,TEÓFILO OTONI,"10304,66",t  ,"150,61",2022-04-04 16:42:00
2022,4,834323.0,2007.0,PJ,03933619000147,GRANITO,MG,3156502,RUBELITA,"159,4",t  ,"4673,53",2022-04-28 10:02:00
2022,4,830185.0,2010.0,PJ,04180718000168,GRANITO,MG,3156502,RUBELITA,"7,1",m3 ,"238,51",2022-04-25 15:25:00
2022,4,831714.0,2003.0,PJ,05311036000100,GRANITO,MG,3171600,VIRGEM DA LAPA,"70,62",m3 ,"1264,27",2022-04-28 07:50:00
2022,4,832779.0,2010.0,PJ,05591773000103,GRANITO,MG,3156502,RUBELITA,"172,24",m3 ,"7360,7",2022-04-08 17:01:00
2022,4,833956.0,2012.0,PJ,07956583000178,GNAISSE,MG,3139201,MALACACHETA,"63,96",m3 ,"1982,38",2022-04-06 08:59:00
2022,4,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,"139,84",t  ,"39,94",2022-04-13 09:33:00
2022,4,830195.0,2003.0,PJ,15783338000134,GRANITO,MG,3156502,RUBELITA,"161,82",m3 ,"3703,04",2022-04-29 09:45:00
2022,4,930078.0,1997.0,PJ,21228861000100,GRAFITA,MG,3148707,PEDRA AZUL,"2381,68",t  ,"198552,88",2022-04-04 10:36:00
2022,4,832983.0,2011.0,PJ,25482167000167,ARGILA,MG,3169703,TURMALINA,250,t  ,20,2022-04-01 08:08:00
2022,4,830269.0,1990.0,PJ,38564373000168,GRANITO,MG,3168606,TEÓFILO OTONI,"3291,25",t  ,"1993,07",2022-04-13 10:44:00
2022,5,832033.0,2009.0,PJ,11430465000107,AREIA,MG,3103405,ARAÇUAÍ,581,t  ,"121,27",2022-05-04 18:09:00
2022,5,832119.0,1986.0,PJ,42794263000160,FELDSPATO,MG,3157005,SALINAS,"201,56",m3 ,"42321,44",2022-05-16 08:16:00
2022,5,830360.0,2018.0,PJ,27828398000105,FELDSPATO,MG,3134004,ITINGA,5269,kg ,"138,88",2022-05-17 07:01:00
2022,5,830360.0,2018.0,PJ,27828398000105,TURMALINA,MG,3134004,ITINGA,30913,kg ,"1565,78",2022-05-17 07:14:00
2022,5,830360.0,2018.0,PJ,27828398000105,TURMALINA,MG,3134004,ITINGA,5146,kg ,3442,2022-05-17 07:22:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,138,t  ,"158,7",2022-05-24 14:36:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,38,t  ,"129,19",2022-05-24 13:42:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,114,t  ,"382,94",2022-05-24 13:44:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,77,t  ,"90,37",2022-05-24 14:26:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,175,t  ,"220,73",2022-05-24 13:46:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,76,t  ,"248,75",2022-05-24 13:47:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,53,t  ,"165,45",2022-05-24 13:53:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,53,t  ,"169,68",2022-05-24 13:57:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,53,t  ,"170,65",2022-05-24 13:56:00
2022,5,834850.0,2007.0,PJ,07376952000153,FELDSPATO,MG,3119500,CORONEL MURTA,106,t  ,"341,93",2022-05-24 13:55:00
2022,5,834850.0,2007.0,PJ,07376952000153,TURMALINA,MG,3119500,CORONEL MURTA,100,g  ,"12,23",2022-05-25 08:24:00
2022,5,831459.0,1986.0,PJ,71333736000120,GRANITO,MG,3141405,MEDINA,"662,35",m3 ,"14065,9",2022-05-20 17:53:00
2022,5,830924.0,2015.0,PF,***046805**,AREIA,MG,3169703,TURMALINA,102,t  ,"30,6",2022-05-23 22:09:00
2022,5,830016.0,2004.0,PJ,39282298000105,GRANITO,MG,3119500,CORONEL MURTA,"9,22",m3 ,"229,54",2022-05-19 08:23:00
2022,5,831680.0,2012.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,350,t  ,28,2022-05-02 07:28:00
2022,5,831680.0,2012.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,300,t  ,24,2022-05-02 07:33:00
2022,5,832358.0,2008.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,400,t  ,32,2022-05-02 07:30:00
2022,5,832358.0,2008.0,PJ,01902521000105,ARGILA,MG,3169703,TURMALINA,350,t  ,28,2022-05-02 07:31:00
2022,5,831922.0,2005.0,PJ,01902521000105,ARGILA REFRATÁRIA,MG,3169703,TURMALINA,250,t  ,20,2022-05-02 07:35:00
2022,5,830683.0,2015.0,PJ,03478696000154,AREIA,MG,3168606,TEÓFILO OTONI,"412,46",t  ,"164,26",2022-05-03 10:10:00
2022,5,830185.0,2010.0,PJ,04180718000168,GRANITO,MG,3156502,RUBELITA,"131,78",m3 ,"4840,79",2022-05-27 14:13:00
2022,5,830515.0,2018.0,PJ,08701276000109,AREIA,MG,3171600,VIRGEM DA LAPA,"502,74",t  ,"223,69",2022-05-10 16:50:00
2022,5,832578.0,2012.0,PJ,09094556000169,GRANITO,MG,3119500,CORONEL MURTA,"220,03",m3 ,"2214,78",2022-05-16 13:58:00
2022,5,832586.0,2009.0,PJ,09094556000169,GRANITO,MG,3119500,CORONEL MURTA,"33,97",m3 ,"267,91",2022-05-16 13:52:00
2022,5,833857.0,2011.0,PJ,12294384000181,GRANITO,MG,3168606,TEÓFILO OTONI,"41,79",m3 ,"1120,18",2022-05-23 17:12:00
2022,5,831071.0,2017.0,PJ,25102005000156,ARGILA,MG,3168606,TEÓFILO OTONI,328,t  ,"128,84",2022-05-10 15:05:00
